"TL","Territory Level and Typology","REG_ID","Region","SERIES","SNA Classification","VAR","Indicator","MEAS","Measure","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","AU7","Northern Territory","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2009","2009","AUD","Australian Dollar","6","Millions","2015","2015",4462.83,,
"2","Large regions (TL2)","AU7","Northern Territory","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2010","2010","AUD","Australian Dollar","6","Millions","2015","2015",4419.47,,
"2","Large regions (TL2)","AU7","Northern Territory","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2011","2011","AUD","Australian Dollar","6","Millions","2015","2015",4615.93,,
"2","Large regions (TL2)","AU7","Northern Territory","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2012","2012","AUD","Australian Dollar","6","Millions","2015","2015",5115.56,,
"2","Large regions (TL2)","AU7","Northern Territory","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2013","2013","AUD","Australian Dollar","6","Millions","2015","2015",5168.77,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2004","2004","AUD","Australian Dollar","6","Millions","2015","2015",1074.3,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2005","2005","AUD","Australian Dollar","6","Millions","2015","2015",957.38,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2006","2006","AUD","Australian Dollar","6","Millions","2015","2015",994.06,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2007","2007","AUD","Australian Dollar","6","Millions","2015","2015",967.03,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2008","2008","AUD","Australian Dollar","6","Millions","2015","2015",729.82,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2009","2009","AUD","Australian Dollar","6","Millions","2015","2015",877.66,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2010","2010","AUD","Australian Dollar","6","Millions","2015","2015",737.71,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2011","2011","AUD","Australian Dollar","6","Millions","2015","2015",762.49,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2012","2012","AUD","Australian Dollar","6","Millions","2015","2015",876.67,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2013","2013","AUD","Australian Dollar","6","Millions","2015","2015",851.69,,
"1","Country","AUS","Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2004","2004","AUD","Australian Dollar","6","Millions","2015","2015",180114,,
"1","Country","AUS","Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2005","2005","AUD","Australian Dollar","6","Millions","2015","2015",180756,,
"1","Country","AUS","Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2006","2006","AUD","Australian Dollar","6","Millions","2015","2015",188863,,
"1","Country","AUS","Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2007","2007","AUD","Australian Dollar","6","Millions","2015","2015",194837,,
"1","Country","AUS","Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GVA_IND_10_VB_E","GVA in industry, including energy (ISIC rev4)","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2008","2008","AUD","Australian Dollar","6","Millions","2015","2015",193714,,
